Low,Volume
40.9,321650
47.1,1559650
51.2,431800
40,381550
32.9,256550
34.8,1061600
39.6,1127850
32.5,289650
66.8,445400
49.5,634400
45.8,495450
39.4,237750
34.2,616350
38.5,663400
31.7,216100
67.3,481450
41.2,951000
44.6,410300
43.8,424550
38.9,212550
33.9,812150
37.6,861350
34,284000
31.6,121050
67.2,537200
39,523450
44.7,326700
44.4,306400
39.3,247300
32,221600
32.9,889900
34.1,262300
31.5,218300
38.6,288200
38.2,340150
44.2,484000
32.1,181400
32.5,411500
33.9,333050
31.3,190650
42.4,205250
37.5,353450
49.9,490900
44.2,330300
31.8,151300
36.3,575950
33.9,231700
66.6,328950
41.2,219000
38.8,274800
44,530250
48.9,568300
39,137450
31.7,265450
36.1,505800
33.8,412650
65,454600
42.8,225400
44.2,406000
47,294350
37.9,259500
32.2,601950
37,486650
30.3,319750
62.9,385750
46.6,940700
48.5,516650
43.8,179000
36.1,349350
31.9,770550
35.9,374900
30.1,591450
63.5,237050
38.2,198450
43.6,181750
36.6,313650
32.1,1001800
35.6,438400
32.9,311100
30.7,589550
62.2,204550
45.8,345500
38.2,114450
47.3,754050
43.2,143250
36.8,255150
33.3,364000
32.4,723250
33.2,217150
31.3,557500
48.1,414950
39.9,373800
48,482350
43,106100
32.8,351300
32.4,754900
33.4,105850
32.1,778150
46.7,276750
49.7,573950
42.2,201750
33,291150
34.9,309500
33.1,257300
61.5,249450
48,436350
40.1,428100
49.8,1285450
49.3,693150
35.1,239200
35.4,338450
33,407650
58.3,284950
47,373400
51.9,1667450
48.8,551500
