Low,Volume
154.9,7600
196.7,8700
195.6,49050
202.7,10750
159.9,19100
150.8,3500
245.6,32350
174.7,1850
240.3,14650
253,10600
169.1,6400
169.6,2450
158.7,21550
157.7,6800
142,1600
136.2,3250
204.8,11000
172.5,1400
152.1,9350
136.6,600
150.6,4100
196.3,6600
137.1,2350
241,10950
203.4,17750
141.5,4200
176,1750
152.9,4200
403.3,39100
164.6,5600
154.5,4450
141.4,2450
154.1,7800
242.7,18000
399.9,54400
138.6,2100
167.4,1350
180.6,3100
153.8,3650
153,8800
189.8,9050
186.5,8700
196.1,16450
200.9,26150
139.6,4350
192.7,21900
158.2,4550
192.3,3600
231.8,13150
164.9,1850
154.5,4450
399.4,37500
186,6000
403.2,61000
166.7,4950
252.6,195000
156.7,3250
153.7,10250
140.2,7250
399.6,33900
207.3,6300
211.7,14800
168.3,6000
155.5,7250
190.2,13450
153.9,4150
184,6900
197,3650
219,34900
140.7,14800
169.6,14800
186.7,7150
193.9,19600
152.3,4400
141.8,450
176,4750
139.2,1950
159.2,27100
217.7,15050
151.6,4350
246.3,19800
173.6,14650
141.9,4950
181.2,5400
154.3,8200
248.3,16500
157.9,13300
176,8450
178.7,3900
178.5,2000
164.4,12300
148.4,29550
189.9,7950
164.7,28800
219,11100
179.4,4100
149.8,1350
210.6,10000
150.6,2650
155.6,6750
240.8,22500
141.2,9000
151.4,900
212.9,8300
192.5,9600
152.5,10250
157.1,3750
157.1,5850
202.6,3450
149.8,3750
199.1,4150
150.6,6700
172.1,7350
171.2,12250
150.7,8050
