Low,Volume
242.1,4250
213,3500
262,1700
223.4,1050
262.7,8450
238.1,16500
290.8,13300
220.3,1000
213.2,1450
284.8,6650
230,10600
265.3,2100
224.4,3650
223.7,800
231.4,1000
223.1,1700
192.6,2350
261,2800
230,500
227,4300
198.8,6750
237.2,9050
236.1,5200
219,3350
232.7,900
234.4,7900
198.7,1000
228.5,9000
203.7,1000
232.4,2600
203.8,600
283.6,4950
260.5,1850
234.4,1400
224,500
229.4,2900
247.5,50
229.2,12650
199.8,950
282.4,12200
235.9,550
235.7,3600
227.9,5400
227.9,5400
219.3,3800
276.9,3400
250.6,300
235.1,11100
264.6,10800
220.2,8750
223.8,3800
199.8,700
221.7,1200
249.3,300
277.5,10550
277.4,2700
223,750
223.5,250
268.3,1500
216.3,8300
226.8,1100
194.6,450
281.4,12100
250.6,1150
239.5,1650
212.1,800
238.1,1150
230.2,5200
198.2,400
215.2,11250
213.7,1950
208,1650
234.8,12150
259.2,3100
230,10550
219.3,4150
203.5,800
238.8,2100
213,4100
252.5,500
251.7,3100
222,1450
232.9,2250
220.6,700
204.1,1150
263.6,2150
258.7,3950
274.8,4600
258.5,6900
208.4,4350
207.6,900
235.5,19750
234.9,1350
270.8,4600
261.8,3750
218.1,1650
234.3,3200
221.9,750
230.6,700
268,5700
267.5,3000
220.9,2450
241,650
236.6,2000
254.1,850
233.5,400
272.4,1500
223.9,10800
240.2,6450
251.8,50
213.6,1550
237.8,250
227.4,2350
199.1,950
260.5,6150
267,3400
231.7,650
221.2,900
239.8,12800
220.5,1900
243.3,4450
235.4,8150
265.9,2150
235.1,400
241.1,3750
271.5,1750
220.8,2800
229.4,6600
269.7,4050
235,2350
226.2,6700
224.3,750
253.3,3800
233.7,3300
267.5,1650
201.5,4150
215.1,3050
231.2,2700
278.4,6050
618.2,45550
223.7,1600
207.7,750
231.9,6850
269,5500
222.1,450
263.6,1450
258,4100
210.3,1550
620.1,29500
224.9,800
268.2,2250
264.2,2200
239.4,2150
230,50
236.5,400
253.6,1300
234.9,650
236.1,6150
254.9,4450
611.8,28550
207.1,1900
233.5,1800
250,100
224.4,2650
252.9,2350
259,2700
230,150
596.2,17250
239,2000
207.4,2500
241.7,9050
250.9,1650
240.8,950
231.9,9050
233.5,6800
234.7,12600
208.9,3500
223.3,2850
266.7,850
232.7,9050
249.4,5350
237.2,7600
258.9,2050
217.9,1450
242.4,12100
236,1200
260.6,700
244.7,9800
242.3,8300
241,10600
232,1800
275.7,10750
262.7,3150
263.8,200
244.7,3300
224.8,6100
238.8,5050
255.3,1100
231.8,150
218.6,950
228.2,900
263,800
232.3,400
286.3,12700
211.6,750
214.1,3500
229.2,2600
221,1450
247.9,4000
238.1,2800
279.5,5100
238.2,10900
592.8,20350
236,8400
288.2,9300
217.1,700
237,2650
236.9,2650
235.1,500
235.5,3200
290.2,13900
233.2,4350
285.1,8050
243,4100
210.7,3000
